group,region,province
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,96
1,1,103
1,2,7
1,3,12
1,3,13
1,3,14
1,3,15
1,3,16
1,3,17
1,3,18
1,3,19
1,3,20
1,3,97
1,3,98
1,3,108
1,7,8
1,7,9
1,7,10
1,7,11
2,4,21
2,4,22
2,5,23
2,5,24
2,5,25
2,5,26
2,5,27
2,5,28
2,5,29
2,6,30
2,6,31
2,6,32
2,6,93
2,8,33
2,8,34
2,8,35
2,8,36
2,8,37
2,8,38
2,8,39
2,8,40
2,8,99
3,9,45
3,9,46
3,9,47
3,9,48
3,9,49
3,9,50
3,9,51
3,9,52
3,9,53
3,9,100
3,10,54
3,10,55
3,11,41
3,11,42
3,11,43
3,11,44
3,11,109
3,12,56
3,12,57
3,12,58
3,12,59
3,12,60
4,13,66
4,13,67
4,13,68
4,13,69
4,14,70
4,14,94
4,15,61
4,15,62
4,15,63
4,15,64
4,15,65
4,16,71
4,16,72
4,16,73
4,16,74
4,16,75
4,16,110
4,17,76
4,17,77
4,18,78
4,18,79
4,18,80
4,18,101
4,18,102
5,19,81
5,19,82
5,19,83
5,19,84
5,19,85
5,19,86
5,19,87
5,19,88
5,19,89
5,20,90
5,20,91
5,20,92
5,20,95
5,20,104
5,20,105
5,20,106
5,20,107
5,20,111
